,fips,Mean age,% under 20,% over 65
1813,35033,46.34687083888149,0.19906790945406125,0.28761651131824234
1814,35035,38.35853012084276,0.25730372411314595,0.1718153366975637
1815,35037,43.92705682782019,0.23312734763116444,0.2545740942687508
1816,35039,40.52484233194893,0.2581654104496744,0.19376506178536634
1817,35041,35.4166355439364,0.29205570079496346,0.1425598890252361
1818,35043,39.802829610343096,0.25635250277243954,0.1774085783756604
1819,35045,37.35827675279704,0.2892045136473053,0.1494285965627824
1820,35047,42.617121525135005,0.21949186328875359,0.21717226631872713
1821,35049,44.220217785360134,0.20077837607293278,0.24314256011089194
1822,35051,49.99680889861415,0.17095185995623632,0.3652443471918308
1823,35053,39.95249477143711,0.2625037346877801,0.19300866447564985
1824,35055,45.45728643216081,0.19601035480432466,0.26459570580173597
1825,35057,41.86133025463408,0.23244179334231288,0.2072349432364826
1826,35059,42.25546381738708,0.20398251578436133,0.2093249150072851
1827,35061,39.499829967563045,0.2603065815632521,0.17659830490739772
1828,36001,39.61148357140764,0.2244128459186564,0.16955427410400598
1829,36003,40.153413741115656,0.25983200516907173,0.18985569674779237
1830,36005,36.33894082389053,0.27433225428940905,0.1280433647177774
1831,36007,40.64101868422563,0.23511027397617643,0.19066153950505846
1832,36009,40.997761582509106,0.2488938053097345,0.19168401874023946
1833,36011,41.886836476764536,0.2189383628232549,0.19119839263724156
1834,36013,41.67579080655625,0.2370661018141458,0.20090824533566778
1835,36015,41.09820305267406,0.2373299783986517,0.18960524129418188
1836,36017,42.36847862672501,0.22688067990575564,0.20369824974755973
1837,36019,40.44188611438131,0.216556168287998,0.17056818885928496
1838,36021,45.06068495894252,0.19136791508111356,0.23791641631617597
1839,36023,38.55770236078874,0.25305815193526127,0.16498337619973652
1840,36025,44.809778336739505,0.2044152985828823,0.24484020931120443
1841,36027,41.292828495359494,0.22153562260399431,0.17579106489898474
1842,36029,40.64811426098623,0.22877531071990467,0.17945916089588232
1843,36031,45.06292225201072,0.18134048257372654,0.23439678284182305
1844,36033,40.38307517944843,0.2202493388741972,0.1680551965482274
1845,36035,42.08803717042041,0.2203914836446418,0.1959097609673266
1846,36037,41.61261323920641,0.22710438003164612,0.18692076298447255
1847,36039,43.93859889242172,0.19054136573245456,0.22126297614284812
1848,36041,50.10329273793415,0.14411366711772666,0.3125845737483085
1849,36043,42.167903870101725,0.2326589361667718,0.2072517911147769
1850,36045,35.92635676256096,0.2636660552100577,0.1366918706098161
1851,36047,37.27898932566216,0.24729850590244035,0.13909006787128847
1852,36049,40.77872726585246,0.2497069610919953,0.18319658184293114
1853,36051,40.79725433754567,0.22610593575529442,0.17883182817467222
1854,36053,41.0541281163924,0.2386185465075217,0.18299314923370294
1855,36055,39.95872986798191,0.23847299703423958,0.1724626047511428
1856,36057,40.51373976342129,0.2489131533717521,0.18608836315842686
1857,36059,40.75300642032241,0.2389227168690088,0.17763039232358838
1858,36061,40.41750818597152,0.16443226841513575,0.16510212740091643
1859,36063,41.815680050182245,0.22370540742183972,0.1906022344404157
1860,36065,40.78971761108473,0.2400327558945365,0.18755798708058735
1861,36067,39.823327392926515,0.245294050137611,0.17027602320439836
1862,36069,41.92810201703925,0.22854620257773248,0.19927364741862666
1863,36071,37.36290257127223,0.2845548250953656,0.140177666768774
1864,36073,41.47921796513346,0.21791588692997144,0.17918349256377425
1865,36075,39.82514546472375,0.2462976471186958,0.16340395935469643
1866,36077,42.04118897387404,0.2157023548511272,0.21183618135868382
1867,36079,41.68627391497795,0.22038183068397849,0.17361363912146585
1868,36081,39.719791865044016,0.22022628401522484,0.15688097710041574
1869,36083,40.275222337903436,0.22725505199382848,0.16953500332409277
1870,36085,39.68232534404079,0.2411362113826943,0.1618151997463139
1871,36087,37.144524785458785,0.30782787577334625,0.15691674726354413
1872,36089,39.72539728081298,0.25076124279248846,0.17423898858829953
1873,36091,41.29890121348783,0.22429321828443322,0.18129760213413973
1874,36093,40.08272288381075,0.23976182813002897,0.17116189250080463
1875,36095,43.305978068623986,0.21355757790140528,0.21857413898446795
1876,36097,43.35339437248772,0.2118691380080393,0.2133765073693613
1877,36099,41.45,0.21903790087463557,0.19215743440233235
1878,36101,41.602749592884884,0.23594930894818156,0.19677230782078584
1879,36103,40.54577126486993,0.23652397249868848,0.16862951887558716
1880,36105,41.16768656123341,0.23460224111897005,0.18858777715965985
1881,36107,42.44343080724877,0.2315485996705107,0.20292421746293246
1882,36109,36.931308552138766,0.23171811310108664,0.14495150447987704
1883,36111,42.563513793470285,0.20427885934411727,0.19780625871365462
1884,36113,43.829284991830704,0.2012292849918307,0.22237609896522212
1885,36115,42.46770266516332,0.2082455022305015,0.19476444923770772
